,author,title,description,url,urlToImage,publishedAt,content,source.name,category
1,Kelly Tyko,Thanksgiving 2020 grocery store hours: Here's when stores are open and closed Thursday - USA TODAY,"What grocery stores are open on Thanksgiving 2020? Albertsons, Kroger and Whole Foods are open, but Aldi, Costco, Walmart and Publix are closed.",https://www.usatoday.com/story/money/shopping/2020/11/26/thanksgiving-grocery-stores-open-2020-coronavirus-kroger-albertsons/6411619002/,https://www.gannett-cdn.com/-mm-/9e1f6e2ee20f44aa1f3be4f71e9f3e52b6ae2c7e/c=0-110-2121-1303/local/-/media/2020/09/16/USATODAY/usatsports/gettyimages-1215276675.jpg?width=1600&height=800&fit=crop,2020-11-26T05:01:38Z,"Stores like Kroger and Dollar Tree will be open, but Publix and Costco are closing their doors for Thanksgiving.
USA TODAY
If you forget the cranberry sauce or need to stock up on milk on Thanksgiv",USA Today,business
2,,Salesforce talks to buy Slack foreshadow showdown with Microsoft - Financial Times,Workplace chat app is discussing takeover by Salesforce as competitor’s Teams service surges in popularity,https://www.ft.com/content/d23ff273-20fa-4bf8-a0a3-1fb235473777,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F09962103-7cd8-4e3d-836b-e43d8a4854cf.jpg?source=next-opengraph&fit=scale-down&width=900,2020-11-26T05:00:00Z,"In the middle of last year, when Slack went public on Wall Street, cloud software company Salesforce ran a slide rule over the company to see whether it should attempt an acquisition.
Its view at th",Financial Times,business
3,Tanisha Pina,Ugg Black Friday Sale: The Best New Ugg Deals Available Now - Forbes,"Ugg has a lot in store for Black Friday this year, including the brand's annual ""Cyber Closet 2020"" event, live now. Here are our favorite picks from all of the Ugg deals available now.",https://www.forbes.com/sites/forbes-personal-shopper/2020/11/25/ugg-black-friday-sale-best-ugg-deals/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5fbf2badf852137663e3bc28%2F0x0.jpg%3FcropX1%3D107%26cropX2%3D773%26cropY1%3D285%26cropY2%3D660,2020-11-26T04:15:12Z,"Ugg has a lot in store for Black Friday this year, and thankfully the brand has already let shoppers know what to expect. In addition to Black Friday and Cyber Monday deals kicking off on November 27",Forbes,business
4,Joseph Choi,"California, Texas shatter single-day nationwide record for new coronavirus cases | TheHill - The Hill","The two largest states in the U.S., California and Texas, both br...",https://thehill.com/homenews/news/527666-california-texas-shatter-single-day-nationwide-record-for-new-coronavirus-cases,https://thehill.com/sites/default/files/coronavirus_testing_tx_103020getty_coronavirus.jpg,2020-11-26T02:48:21Z,"The two largest states in the U.S., California and Texas, both broke the national record for most coronavirus cases reported in a single day on Wednesday.
California reported around 18,350 cases and",The Hill,business
5,Jacqueline Quynh,‘Very Excited’: Doctors React To News That COVID Vaccines Will Arrive At Denver Health In A Few Weeks - CBS Denver,The COVID-19 vaccine is expected at Denver Health in just a few weeks.,https://denver.cbslocal.com/2020/11/25/covid-coronavirus-vaccine-denver-health-pfizer/,https://denver.cbslocal.com/wp-content/uploads/sites/15909806/2020/11/PFIZER-VACCINE-5PKG.transfer_frame_1378.jpeg?w=1500,2020-11-26T01:12:00Z,DENVER (CBS4) – The COVID-19 vaccine is expected at Denver Health in just a few weeks. This comes on the same day that Colorado successfully completed a simulation to help prepare for the arrival of ,Cbslocal.com,business
7,Adrienne Roberts,Report: Mich. unemployment agency's relaxed policies left state vulnerable to fraud - Detroit Free Press,"The report, prepared by Deloitte & Touche, infers changes UIA leaders made led to fraudulent claims being paid as real filers waited for benefits.",https://www.freep.com/story/news/local/michigan/2020/11/25/covid-19-relaxed-unemployment-policies-fraudulent-claims/6425365002/,"https://www.gannett-cdn.com/presto/2020/06/05/PDTF/f767d3f8-4821-4e68-8911-006cd5880d78-Unemployment_fraud_email.PNG?crop=818,461,x0,y0&width=1600&height=800&fit=bounds",2020-11-26T01:07:30Z,"Senior leaders at Michigan's Unemployment Insurance Agency disagreed over balancing fraud prevention with quickly distributing benefits to millions of Michigan residents during the COVID-19 pandemic,",Detroit Free Press,business
8,Ron Charles,Penguin Random House is buying Simon & Schuster. That’s bad for readers. - Washington Post,"For book lovers, the announcement may feel like background noise, but the ramifications are huge.",https://www.washingtonpost.com/entertainment/books/penguin-random-house-is-buying-simon-and-schuster-thats-bad-for-readers/2020/11/25/e53d5382-2f40-11eb-860d-f7999599cbc2_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/CS4DJEBPIMI6XOXAKC5ROETGCQ.jpg&w=1440,2020-11-26T00:57:00Z,"For book lovers, that development may feel like background noise. After all, when looking for something good to read, we choose authors and titles, not publishers.
But dont turn the page on this new",The Washington Post,business
9,Ethan Baron,Bay Area’s DoorDash to pay $2.5 million after being accused of stealing drivers’ tips - The Mercury News,"Washington, D.C. attorney general accused DoorDash of treating customers’ tip money as ‘extra profit for the company.’",https://www.mercurynews.com/2020/11/25/bay-areas-doordash-to-pay-2-5-million-after-being-accused-of-stealing-drivers-tips/,https://www.mercurynews.com/wp-content/uploads/2019/10/SJM-L-DOORDASH-1016-12.jpg?w=1024&h=755,2020-11-26T00:56:00Z,Bay Area restaurant-delivery firm DoorDash has agreed to pay $2.5 million to settle a government lawsuit alleging it stole drivers’ tips and deceived customers into thinking their tip money was going,The Mercury News,business
11,CBS New York,"COVID In NYC: In Response To New Restrictions, Staten Island Restaurant Declares Itself An ‘Autonomous Zone’ - CBS New York","As local COVID-19 cases continue to spike, parts of Staten Island are now in an orange zone.",https://newyork.cbslocal.com/2020/11/25/staten-island-restaurant-autonomous-zone-coronavirus-restrictions-covid-19/,https://newyork.cbslocal.com/wp-content/uploads/sites/14578484/2020/11/Staten-Island-COVID-19-restrictions.jpg?w=1154,2020-11-26T00:34:00Z,"NEW YORK (CBSNewYork) — As local COVID-19 cases continue to spike, parts of Staten Island are now in an orange zone.
That means as more restrictions took effect Wednesday, there was more angst for m",Cbslocal.com,business
12,Associated Press,"Delta won't furlough 1,700 pilots, but job cuts possible at Southwest - MarketWatch","Delta and pilots’ union reach cost-cutting deal; Southwest warns 1,900 workers of possible cuts in January",https://www.marketwatch.com/story/delta-wont-furlough-1-700-pilots-but-job-cuts-possible-at-southwest-01606349549,https://images.mktw.net/im-265073/social,2020-11-26T00:12:00Z,"DALLAS Delta Air Lines on Wednesday dropped a threat to furlough more than 1,700 pilots after they ratified a cost-cutting agreement that the airline said was needed to help it cope with a downturn c",MarketWatch,business
